"time","altitude","downrange_distance","angle","stage"
"t=451s",174.865,1145.531,1.439,"second"
"t=452s",175.006,1151.234,1.419,"second"
"t=453s",175.145,1156.957,1.399,"second"
"t=454s",175.282,1162.704,1.379,"second"
"t=455s",175.419,1168.477,1.361,"second"
"t=456s",175.554,1174.272,1.344,"second"
"t=457s",175.689,1180.091,1.327,"second"
"t=458s",175.822,1185.934,1.312,"second"
"t=459s",175.955,1191.802,1.297,"second"
"t=460s",176.087,1197.693,1.283,"second"
"t=461s",176.218,1203.607,1.268,"second"
"t=462s",176.349,1209.545,1.253,"second"
"t=463s",176.479,1215.507,1.238,"second"
"t=464s",176.608,1221.493,1.221,"second"
"t=465s",176.736,1227.504,1.202,"second"
"t=466s",176.862,1233.538,1.182,"second"
"t=467s",176.987,1239.597,1.16,"second"
"t=468s",177.11,1245.683,1.135,"second"
"t=469s",177.23,1251.795,1.109,"second"
"t=470s",177.348,1257.932,1.079,"second"
"t=471s",177.463,1264.095,1.048,"second"
"t=472s",177.574,1270.285,1.014,"second"
"t=473s",177.681,1276.5,0.979,"second"
"t=474s",177.785,1282.742,0.941,"second"
"t=475s",177.885,1289.01,0.903,"second"
"t=476s",177.98,1295.304,0.863,"second"
"t=477s",178.072,1301.624,0.821,"second"
"t=478s",178.159,1307.972,0.779,"second"
"t=479s",178.241,1314.346,0.737,"second"
"t=480s",178.319,1320.748,0.693,"second"
"t=481s",178.393,1327.177,0.65,"second"
"t=482s",178.461,1333.633,0.606,"second"
"t=483s",178.525,1340.118,0.563,"second"
"t=484s",178.584,1346.631,0.52,"second"
"t=485s",178.637,1353.172,0.478,"second"
"t=486s",178.686,1359.741,0.436,"second"
"t=487s",178.731,1366.339,0.396,"second"
"t=488s",178.771,1372.966,0.357,"second"
"t=489s",178.807,1379.623,0.319,"second"
"t=490s",178.839,1386.309,0.283,"second"
"t=491s",178.867,1393.025,0.248,"second"
"t=492s",178.891,1399.771,0.215,"second"
"t=493s",178.912,1406.548,0.183,"second"
"t=494s",178.929,1413.355,0.153,"second"
"t=495s",178.943,1420.193,0.124,"second"
"t=496s",178.953,1427.061,0.097,"second"
"t=497s",178.961,1433.96,0.072,"second"
"t=498s",178.965,1440.891,0.047,"second"
"t=499s",178.967,1447.852,0.025,"second"
"t=500s",178.967,1454.845,0.003,"second"
"t=501s",178.963,1461.871,-0.017,"second"
"t=502s",178.958,1468.93,-0.035,"second"
"t=503s",178.951,1476.021,-0.052,"second"
"t=504s",178.941,1483.145,-0.068,"second"
"t=505s",178.93,1490.302,-0.082,"second"
"t=506s",178.917,1497.493,-0.096,"second"
"t=507s",178.902,1504.718,-0.107,"second"
"t=508s",178.886,1511.971,-0.118,"second"
"t=509s",178.869,1519.255,-0.127,"second"
"t=510s",178.851,1526.573,-0.136,"second"
"t=511s",178.831,1533.917,-0.143,"second"
"t=512s",178.811,1541.28,-0.149,"second"
"t=513s",178.791,1548.658,-0.153,"second"
"t=514s",178.769,1556.045,-0.157,"second"
"t=515s",178.748,1563.434,-0.16,"second"
"t=516s",178.726,1570.824,-0.16,"second"
"t=517s",178.704,1578.214,-0.16,"second"
"t=518s",178.683,1585.603,-0.16,"second"
